n_clusters,inertia,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,478544.2725562091,0.39386042682375216,7613.5677539240605,1.3756666719972896
3,399460.6720536812,0.23639313476109552,7529.625401071734,1.4155406732720275
4,369337.5107155242,0.21805234218127184,6244.472465855123,1.4596266540364788
5,345551.3467209474,0.21180394354078672,5521.751833700689,1.5063828665875754
6,325087.0484559802,0.22312678265393715,5072.943080211422,1.721574584569453
7,311365.48129187844,0.22632044555308517,4633.8979108484955,1.6186020448383833
8,299831.4207456035,0.1801259935776464,4289.38940165134,1.6520896658793445
9,287662.6615748972,0.18142881918085138,4070.442588617905,1.4181253928708666
10,279224.5690398989,0.18377545633091671,3828.0871546854696,1.6323597771654286
